mass_A
t	x	y
0,000000000E0	2,770514491E-2	3,786739326E-1
3,336666667E-2	3,839185517E-2	3,715504833E-1
6,673333333E-2	4,493854914E-2	3,641583131E-1
1,001000000E-1	5,792285251E-2	3,561626675E-1
1,334666667E-1	7,500659331E-2	3,454734911E-1
1,668333333E-1	9,683279426E-2	3,349978842E-1
2,002000000E-1	1,202161081E-1	3,222819099E-1
2,335666667E-1	1,474122285E-1	3,092542217E-1
2,669333333E-1	1,801416057E-1	2,986508690E-1
3,003000000E-1	2,155444962E-1	2,954292038E-1
3,336666667E-1	2,519914041E-1	2,944300793E-1
3,670333333E-1	2,887692805E-1	2,952747361E-1
4,004000000E-1	3,233760384E-1	3,002969799E-1
4,337666667E-1	3,562056621E-1	3,055896410E-1
4,671333333E-1	3,871825806E-1	3,091393115E-1
5,005000000E-1	4,200554312E-1	3,119384713E-1
5,338666667E-1	4,523311549E-1	3,093541194E-1
5,672333333E-1	4,848409867E-1	2,938798823E-1
6,006000000E-1	5,198680705E-1	2,834498776E-1
6,339666667E-1	5,574162154E-1	2,731371734E-1
6,673333333E-1	5,980530039E-1	2,676218264E-1
7,007000000E-1	6,393703415E-1	2,685919289E-1
7,340666667E-1	6,799651200E-1	2,705138989E-1
7,674333333E-1	7,196225799E-1	2,745312154E-1
8,008000000E-1	7,579868686E-1	2,771428584E-1
8,341666667E-1	7,956252323E-1	2,792416147E-1
8,675333333E-1	8,345991800E-1	2,707943167E-1
9,009000000E-1	8,737223042E-1	2,587982722E-1
9,342666667E-1	9,160377371E-1	2,461032259E-1
9,676333333E-1	9,605036240E-1	2,334940312E-1
1,001000000E0	1,007774615E0	2,324188705E-1
1,034366667E0	1,054765362E0	2,381217700E-1
1,067733333E0	1,096957483E0	2,531262636E-1
1,101100000E0	1,136973009E0	2,663067568E-1
1,134466667E0	1,174351420E0	2,774520184E-1
1,167833333E0	1,212872361E0	2,836073349E-1
1,201200000E0	1,250493713E0	2,840046370E-1
1,234566667E0	1,288381625E0	2,776350034E-1
