mass_A
t	x	y
0,000000000E0	1,693780947E-2	3,864243796E-1
3,336666667E-2	2,306946165E-2	3,861704245E-1
6,673333333E-2	3,146539349E-2	3,794344385E-1
1,001000000E-1	4,416313872E-2	3,707156918E-1
1,334666667E-1	5,988129174E-2	3,596109469E-1
1,668333333E-1	7,961226257E-2	3,493447916E-1
2,002000000E-1	1,024466957E-1	3,356922520E-1
2,335666667E-1	1,295035319E-1	3,231236623E-1
2,669333333E-1	1,606813798E-1	3,120322605E-1
3,003000000E-1	1,961382178E-1	3,054504539E-1
3,336666667E-1	2,322748009E-1	3,008617836E-1
3,670333333E-1	2,689593436E-1	3,027607518E-1
4,004000000E-1	3,037253840E-1	3,081679531E-1
4,337666667E-1	3,372844151E-1	3,142594809E-1
4,671333333E-1	3,695149207E-1	3,190761382E-1
5,005000000E-1	4,018258383E-1	3,202491723E-1
5,338666667E-1	4,328372054E-1	3,155434353E-1
5,672333333E-1	4,655506221E-1	3,075448906E-1
6,006000000E-1	5,004950452E-1	2,968797496E-1
6,339666667E-1	5,376884341E-1	2,868401694E-1
6,673333333E-1	5,774749040E-1	2,768885884E-1
7,007000000E-1	6,181382583E-1	2,769327249E-1
7,340666667E-1	6,595356737E-1	2,782198115E-1
7,674333333E-1	6,991464893E-1	2,830504538E-1
8,008000000E-1	7,386524153E-1	2,860723261E-1
8,341666667E-1	7,776377414E-1	2,872899093E-1
8,675333333E-1	8,172459197E-1	2,821181719E-1
9,009000000E-1	8,570341942E-1	2,671901658E-1
9,342666667E-1	8,991805603E-1	2,557605298E-1
9,676333333E-1	9,442054124E-1	2,439229311E-1
1,001000000E0	9,921372530E-1	2,402833074E-1
1,034366667E0	1,038418537E0	2,452680992E-1
1,067733333E0	1,083766339E0	2,550942928E-1
1,101100000E0	1,123064478E0	2,693642232E-1
1,134466667E0	1,162748905E0	2,800089861E-1
