mass_A
t	x	y
0,000000000E0	3,494235460E-3	3,601376797E-1
3,336666667E-2	3,527834980E-3	3,602118517E-1
6,673333333E-2	7,514111574E-3	3,590192131E-1
1,001000000E-1	1,537028489E-2	3,553484036E-1
1,334666667E-1	2,456040349E-2	3,459084297E-1
1,668333333E-1	4,004832406E-2	3,389328929E-1
2,002000000E-1	5,721040690E-2	3,277559839E-1
2,335666667E-1	7,815206186E-2	3,134385827E-1
2,669333333E-1	1,041304428E-1	3,024423614E-1
3,003000000E-1	1,328968482E-1	2,890285788E-1
3,336666667E-1	1,664832059E-1	2,794105253E-1
3,670333333E-1	2,029737669E-1	2,755102035E-1
4,004000000E-1	2,398361609E-1	2,758066600E-1
4,337666667E-1	2,752249584E-1	2,791267310E-1
4,671333333E-1	3,088356319E-1	2,849791016E-1
5,005000000E-1	3,411911162E-1	2,904927809E-1
5,338666667E-1	3,735995091E-1	2,924334857E-1
5,672333333E-1	4,052705409E-1	2,920430502E-1
6,006000000E-1	4,380791120E-1	2,838943928E-1
6,339666667E-1	4,715767532E-1	2,765482972E-1
6,673333333E-1	5,076041262E-1	2,655229694E-1
7,007000000E-1	5,454460576E-1	2,542941458E-1
7,340666667E-1	5,865930687E-1	2,494064969E-1
7,674333333E-1	6,278379019E-1	2,493932862E-1
8,008000000E-1	6,670139488E-1	2,535802095E-1
8,341666667E-1	7,066214142E-1	2,574465955E-1
8,675333333E-1	7,454267113E-1	2,603108579E-1
9,009000000E-1	7,843873617E-1	2,571808643E-1
9,342666667E-1	8,230113206E-1	2,494526331E-1
9,676333333E-1	8,634826057E-1	2,372465063E-1
1,001000000E0	9,060518502E-1	2,237651225E-1
1,034366667E0	9,513639704E-1	2,129828804E-1
1,067733333E0	9,982947238E-1	2,132396201E-1
1,101100000E0	1,043205001E0	2,228964817E-1
1,134466667E0	1,085755789E0	2,368934366E-1
1,167833333E0	1,125785158E0	2,499303553E-1
1,201200000E0	1,164779701E0	2,602698293E-1
1,234566667E0	1,202832881E0	2,639466129E-1
1,267933333E0	1,242130503E0	2,620146001E-1
1,301300000E0	1,280787179E0	2,561631187E-1
1,334666667E0	1,320553766E0	2,459057067E-1
1,368033333E0	1,362637032E0	2,341730303E-1
1,401400000E0	1,405825898E0	2,192096958E-1
