mass_A
t	x	y
3,336666667E-2	9,295396043E-5	3,685804442E-1
6,673333333E-2	2,815547908E-3	3,676028686E-1
1,001000000E-1	7,958436585E-3	3,656413003E-1
1,334666667E-1	1,930688417E-2	3,509987697E-1
1,668333333E-1	3,362886296E-2	3,437653881E-1
2,002000000E-1	5,094789536E-2	3,339397516E-1
2,335666667E-1	7,218958301E-2	3,246428589E-1
2,669333333E-1	9,730839599E-2	3,122633851E-1
3,003000000E-1	1,261538649E-1	3,006536083E-1
3,336666667E-1	1,589541780E-1	2,887724312E-1
3,670333333E-1	1,947802233E-1	2,859155504E-1
4,004000000E-1	2,315142209E-1	2,837281377E-1
4,337666667E-1	2,664259740E-1	2,877897646E-1
4,671333333E-1	3,011182452E-1	2,949086913E-1
5,005000000E-1	3,334206206E-1	2,998329675E-1
5,338666667E-1	3,656960945E-1	3,024520530E-1
5,672333333E-1	3,973450395E-1	3,025387585E-1
6,006000000E-1	4,301703404E-1	2,933090995E-1
6,339666667E-1	4,635499893E-1	2,846633778E-1
6,673333333E-1	4,986365634E-1	2,731925912E-1
7,007000000E-1	5,361137822E-1	2,628627774E-1
7,340666667E-1	5,772814708E-1	2,580010228E-1
7,674333333E-1	6,179301779E-1	2,587793344E-1
8,008000000E-1	6,584195360E-1	2,620452586E-1
8,341666667E-1	6,976367799E-1	2,664300343E-1
8,675333333E-1	7,361304550E-1	2,681624261E-1
9,009000000E-1	7,747468594E-1	2,661245599E-1
9,342666667E-1	8,137589333E-1	2,588214584E-1
9,676333333E-1	8,538989263E-1	2,476700880E-1
1,001000000E0	8,954894932E-1	2,327618568E-1
1,034366667E0	9,410573380E-1	2,233998015E-1
1,067733333E0	9,881110227E-1	2,222191236E-1
1,101100000E0	1,034765364E0	2,304499637E-1
1,134466667E0	1,077419688E0	2,431815363E-1
1,167833333E0	1,117453162E0	2,577763033E-1
1,201200000E0	1,156112498E0	2,686222646E-1
1,234566667E0	1,193524052E0	2,736881771E-1
1,267933333E0	1,232128623E0	2,715489668E-1
1,301300000E0	1,270853460E0	2,662264006E-1
1,334666667E0	1,310569653E0	2,557651402E-1
1,368033333E0	1,352272363E0	2,449112325E-1
1,401400000E0	1,394946720E0	2,299561082E-1
