mass_A
t	x	y
0,000000000E0	1,809183120E-2	3,717244423E-1
3,336666667E-2	2,210027188E-2	3,709914642E-1
6,673333333E-2	3,035106998E-2	3,665870676E-1
1,001000000E-1	4,255178335E-2	3,558934966E-1
1,334666667E-1	5,906116624E-2	3,454255297E-1
1,668333333E-1	7,838697148E-2	3,347306015E-1
2,002000000E-1	1,011438072E-1	3,204486632E-1
2,335666667E-1	1,282726867E-1	3,078617433E-1
2,669333333E-1	1,603903967E-1	2,966200844E-1
3,003000000E-1	1,953965281E-1	2,886469242E-1
3,336666667E-1	2,318629584E-1	2,852586456E-1
3,670333333E-1	2,684706236E-1	2,887487048E-1
4,004000000E-1	3,036884814E-1	2,939757176E-1
4,337666667E-1	3,374414505E-1	3,000163867E-1
4,671333333E-1	3,699613314E-1	3,037319138E-1
5,005000000E-1	4,023609161E-1	3,054480288E-1
5,338666667E-1	4,346710301E-1	2,990126331E-1
5,672333333E-1	4,680239094E-1	2,929155829E-1
6,006000000E-1	5,030236006E-1	2,825983197E-1
6,339666667E-1	5,402882371E-1	2,721217637E-1
6,673333333E-1	5,799720361E-1	2,618608367E-1
7,007000000E-1	6,212399710E-1	2,610555223E-1
7,340666667E-1	6,623524667E-1	2,658851090E-1
7,674333333E-1	7,023110623E-1	2,700807999E-1
8,008000000E-1	7,412372279E-1	2,732256297E-1
8,341666667E-1	7,803124430E-1	2,730974026E-1
8,675333333E-1	8,197824105E-1	2,668868089E-1
9,009000000E-1	8,590861597E-1	2,534348118E-1
9,342666667E-1	9,013637651E-1	2,405256960E-1
9,676333333E-1	9,456784329E-1	2,281988181E-1
1,001000000E0	9,934174330E-1	2,244502959E-1
1,034366667E0	1,039969263E0	2,311702894E-1
1,067733333E0	1,083593997E0	2,442064893E-1
1,101100000E0	1,124952147E0	2,586435888E-1
1,134466667E0	1,163931191E0	2,703502898E-1
1,167833333E0	1,203144953E0	2,775920182E-1
1,201200000E0	1,241944347E0	2,773147879E-1
1,234566667E0	1,281581208E0	2,712748985E-1
1,267933333E0	1,321276622E0	2,620790346E-1
1,301300000E0	1,363089018E0	2,501999144E-1
