mass_A
t	x	y
0,000000000E0	2,600187230E-2	3,788770818E-1
3,336666667E-2	3,282187776E-2	3,776640430E-1
6,673333333E-2	4,212290231E-2	3,686060522E-1
1,001000000E-1	5,451267808E-2	3,606779205E-1
1,334666667E-1	7,144583291E-2	3,508528291E-1
1,668333333E-1	9,129919745E-2	3,385939165E-1
2,002000000E-1	1,155080647E-1	3,261852859E-1
2,335666667E-1	1,438244695E-1	3,152584279E-1
2,669333333E-1	1,759700067E-1	3,044881902E-1
3,003000000E-1	2,109557853E-1	2,948824054E-1
3,336666667E-1	2,477017624E-1	2,939153639E-1
3,670333333E-1	2,836199140E-1	2,956939155E-1
4,004000000E-1	3,186115143E-1	3,018012660E-1
4,337666667E-1	3,521878040E-1	3,062341218E-1
4,671333333E-1	3,845496296E-1	3,105392429E-1
5,005000000E-1	4,168579406E-1	3,133248066E-1
5,338666667E-1	4,491417158E-1	3,053728281E-1
5,672333333E-1	4,825958369E-1	2,965915607E-1
6,006000000E-1	5,176252010E-1	2,862618660E-1
6,339666667E-1	5,549964551E-1	2,759531690E-1
6,673333333E-1	5,952385475E-1	2,692030162E-1
7,007000000E-1	6,360199611E-1	2,684265860E-1
7,340666667E-1	6,773682782E-1	2,707233354E-1
7,674333333E-1	7,169967086E-1	2,752095606E-1
8,008000000E-1	7,556649945E-1	2,782267081E-1
8,341666667E-1	7,947719140E-1	2,770500669E-1
8,675333333E-1	8,333002086E-1	2,716534875E-1
9,009000000E-1	8,729839209E-1	2,598136960E-1
9,342666667E-1	9,148582987E-1	2,460551559E-1
9,676333333E-1	9,595326797E-1	2,333097578E-1
1,001000000E0	1,007110474E0	2,316192214E-1
1,034366667E0	1,053685091E0	2,370182168E-1
1,067733333E0	1,096717868E0	2,519912739E-1
1,101100000E0	1,137745874E0	2,655678337E-1
1,134466667E0	1,176508308E0	2,763961058E-1
