mass_A
t	x	y
0,000000000E0	9,592278016E-3	3,741060585E-1
3,336666667E-2	1,367871481E-2	3,733994825E-1
6,673333333E-2	2,114102911E-2	3,699344634E-1
1,001000000E-1	3,198774105E-2	3,575687383E-1
1,334666667E-1	4,713623898E-2	3,507553994E-1
1,668333333E-1	6,515836292E-2	3,397024573E-1
2,002000000E-1	8,712181087E-2	3,280725653E-1
2,335666667E-1	1,131646732E-1	3,146810193E-1
2,669333333E-1	1,427445683E-1	3,027116423E-1
3,003000000E-1	1,764713023E-1	2,934507019E-1
3,336666667E-1	2,119130616E-1	2,893148641E-1
3,670333333E-1	2,494552595E-1	2,895059750E-1
4,004000000E-1	2,850427820E-1	2,944288743E-1
4,337666667E-1	3,188297900E-1	3,002952942E-1
4,671333333E-1	3,513786567E-1	3,051179234E-1
5,005000000E-1	3,834238632E-1	3,067922397E-1
5,338666667E-1	4,154927032E-1	3,060086588E-1
5,672333333E-1	4,487099615E-1	2,970218331E-1
6,006000000E-1	4,825325077E-1	2,886282035E-1
6,339666667E-1	5,186297901E-1	2,763557497E-1
6,673333333E-1	5,572405100E-1	2,671782009E-1
7,007000000E-1	5,977234957E-1	2,642203528E-1
7,340666667E-1	6,391303655E-1	2,648869503E-1
7,674333333E-1	6,787541072E-1	2,685782401E-1
8,008000000E-1	7,179055596E-1	2,735441035E-1
8,341666667E-1	7,564277747E-1	2,746840385E-1
8,675333333E-1	7,953123471E-1	2,713526486E-1
9,009000000E-1	8,342513285E-1	2,617090673E-1
9,342666667E-1	8,740200235E-1	2,490896715E-1
9,676333333E-1	9,171104093E-1	2,350604582E-1
1,001000000E0	9,634122317E-1	2,270287065E-1
1,034366667E0	1,010052557E0	2,268785995E-1
1,067733333E0	1,056163955E0	2,381714099E-1
1,101100000E0	1,097869071E0	2,528324900E-1
1,134466667E0	1,136805596E0	2,668165871E-1
1,167833333E0	1,175017423E0	2,747054558E-1
1,201200000E0	1,211654359E0	2,780185409E-1
1,234566667E0	1,250025958E0	2,760763414E-1
1,267933333E0	1,288024513E0	2,695040570E-1
1,301300000E0	1,327691186E0	2,597318754E-1
1,334666667E0	1,368917427E0	2,458633874E-1
1,368033333E0	1,412555463E0	2,331645803E-1
