mass_A
t	x	y
3,336666667E-2	-9,704337504E-4	3,807335081E-1
6,673333333E-2	8,264825708E-3	3,766197755E-1
1,001000000E-1	2,096244927E-2	3,686545693E-1
1,334666667E-1	3,668122518E-2	3,515206749E-1
1,668333333E-1	5,623142081E-2	3,421651431E-1
2,002000000E-1	8,074166118E-2	3,287524688E-1
2,335666667E-1	1,090484572E-1	3,167458280E-1
2,669333333E-1	1,414468407E-1	3,074196641E-1
3,003000000E-1	1,763537744E-1	2,995287103E-1
3,336666667E-1	2,125348136E-1	2,986162140E-1
3,670333333E-1	2,486501694E-1	3,009594369E-1
4,004000000E-1	2,835316718E-1	3,059294338E-1
4,337666667E-1	3,171516660E-1	3,114306979E-1
4,671333333E-1	3,486330874E-1	3,153044496E-1
5,005000000E-1	3,807476375E-1	3,178244857E-1
5,338666667E-1	4,119502063E-1	3,104063587E-1
5,672333333E-1	4,443611766E-1	3,012156545E-1
6,006000000E-1	4,789829931E-1	2,905218649E-1
6,339666667E-1	5,162202936E-1	2,816470685E-1
6,673333333E-1	5,556868247E-1	2,736554633E-1
7,007000000E-1	5,968614692E-1	2,744698807E-1
7,340666667E-1	6,380345469E-1	2,768915360E-1
7,674333333E-1	6,771650076E-1	2,806650297E-1
8,008000000E-1	7,159654359E-1	2,839269792E-1
8,341666667E-1	7,546272717E-1	2,829050309E-1
8,675333333E-1	7,944767032E-1	2,787148740E-1
9,009000000E-1	8,334232146E-1	2,672087259E-1
9,342666667E-1	8,749110146E-1	2,538017473E-1
9,676333333E-1	9,190876989E-1	2,414138955E-1
1,001000000E0	9,664480982E-1	2,373532427E-1
1,034366667E0	1,013356191E0	2,410954761E-1
1,067733333E0	1,056160407E0	2,564549906E-1
1,101100000E0	1,097356930E0	2,697362834E-1
1,134466667E0	1,136390966E0	2,812308319E-1
1,167833333E0	1,175144087E0	2,885445665E-1
1,201200000E0	1,213918755E0	2,888373061E-1
1,234566667E0	1,252907300E0	2,831029894E-1
1,267933333E0	1,292869899E0	2,749082521E-1
1,301300000E0	1,334135978E0	2,630158769E-1
1,334666667E0	1,376868211E0	2,487676223E-1
